prompt_id,prompt,expanded_prompt,Full_Prompt
1,اوصف يومك المفضل,"1. أسباب تفضيل هذا اليوم: [ذكريات، سعادة، أحداث، تميز، راحة].
2. الأنشطة المفضلة في هذا اليوم: [رياضة، قراءة، نزهة، تسوق، طهي].
3. الأشخاص المميزون في يومك: [عائلة، أصدقاء، زملاء، جيران، شريك].
4. الأماكن التي تزورها في هذا اليوم: [حديقة، مطعم، شاطئ، مكتبة، مركز تجاري].
5. المشاعر المرتبطة بهذا اليوم: [فرح، حماس، استرخاء، حنين، تفاؤل].","اوصف يومك المفضل 1. أسباب تفضيل هذا اليوم: [ذكريات، سعادة، أحداث، تميز، راحة].
2. الأنشطة المفضلة في هذا اليوم: [رياضة، قراءة، نزهة، تسوق، طهي].
3. الأشخاص المميزون في يومك: [عائلة، أصدقاء، زملاء، جيران، شريك].
4. الأماكن التي تزورها في هذا اليوم: [حديقة، مطعم، شاطئ، مكتبة، مركز تجاري].
5. المشاعر المرتبطة بهذا اليوم: [فرح، حماس، استرخاء، حنين، تفاؤل]."
2,ما هو طعامك المفضل ولماذا؟,"1. المكونات الأساسية لطعامي المفضل: [مكونات، نكهة، توابل، طازجة، طبيعية].
2. طريقة إعداد طعامي المفضل: [طبخ، خلطة، تقطيع، خطوات، وصفة].
3. الذكريات المرتبطة بطعامي المفضل: [طفولة، عائلة، مناسبة، لحظات، احتفال].
4. الفوائد الصحية لطعامي المفضل: [غذاء، فيتامينات، معادن، صحة، طاقة].
5. تأثير طعامي المفضل على حالتي النفسية: [سعادة، راحة، استرخاء، مزاج، توازن].","ما هو طعامك المفضل ولماذا؟ 1. المكونات الأساسية لطعامي المفضل: [مكونات، نكهة، توابل، طازجة، طبيعية].
2. طريقة إعداد طعامي المفضل: [طبخ، خلطة، تقطيع، خطوات، وصفة].
3. الذكريات المرتبطة بطعامي المفضل: [طفولة، عائلة، مناسبة، لحظات، احتفال].
4. الفوائد الصحية لطعامي المفضل: [غذاء، فيتامينات، معادن، صحة، طاقة].
5. تأثير طعامي المفضل على حالتي النفسية: [سعادة، راحة، استرخاء، مزاج، توازن]."
3,ما هي هوايتك المفضلة؟,"1. تعريف الهواية: [نشاط، ترفيه، اهتمام، شغف، متعة].
2. كيف بدأت ممارسة الهواية: [بداية، اكتشاف، دافع، تجربة، اهتمام].
3. فوائد ممارسة الهواية: [استرخاء، مهارات، صحة، إبداع، تواصل].
4. الأدوات والمواد اللازمة: [معدات، أدوات، مواد، موارد، تجهيزات].
5. تأثير الهواية على حياتك اليومية: [روتين، تنظيم، توازن، تطور، سعادة].","ما هي هوايتك المفضلة؟ 1. تعريف الهواية: [نشاط، ترفيه، اهتمام، شغف، متعة].
2. كيف بدأت ممارسة الهواية: [بداية، اكتشاف، دافع، تجربة، اهتمام].
3. فوائد ممارسة الهواية: [استرخاء، مهارات، صحة، إبداع، تواصل].
4. الأدوات والمواد اللازمة: [معدات، أدوات، مواد، موارد، تجهيزات].
5. تأثير الهواية على حياتك اليومية: [روتين، تنظيم، توازن، تطور، سعادة]."
4,تحدث عن رحلة قمت بها.,"1. وجهة الرحلة: [مدينة، طبيعة، شاطئ، جبل، منتجع].
2. وسيلة النقل: [سيارة، طائرة، قطار، حافلة، قارب].
3. الأنشطة والفعاليات: [تسلق، سباحة، تسوق، استكشاف، تصوير].
4. الأشخاص المرافقون: [أصدقاء، عائلة، زملاء، مرشد، مجموعة].
5. الانطباعات والذكريات: [ممتعة، مدهشة، لا تُنسى، مثيرة، تعليمية].","تحدث عن رحلة قمت بها. 1. وجهة الرحلة: [مدينة، طبيعة، شاطئ، جبل، منتجع].
2. وسيلة النقل: [سيارة، طائرة، قطار، حافلة، قارب].
3. الأنشطة والفعاليات: [تسلق، سباحة، تسوق، استكشاف، تصوير].
4. الأشخاص المرافقون: [أصدقاء، عائلة، زملاء، مرشد، مجموعة].
5. الانطباعات والذكريات: [ممتعة، مدهشة، لا تُنسى، مثيرة، تعليمية]."
5,تحدث عن يوم في المدرسة.,"1. بداية اليوم الدراسي: [الاستيقاظ، التحضير، الانطلاق، الطريق، الطابور].
2. الحصة الأولى: [المعلم، المادة، النقاش، المشاركة، التركيز].
3. فترة الاستراحة: [الأصدقاء، اللعب، الطعام، الحديث، الاسترخاء].
4. الأنشطة اللاصفية: [الرياضة، الموسيقى، الفن، النوادي، الإبداع].
5. نهاية اليوم المدرسي: [العودة، الواجبات، المراجعة، الاسترخاء، التخطيط].","تحدث عن يوم في المدرسة. 1. بداية اليوم الدراسي: [الاستيقاظ، التحضير، الانطلاق، الطريق، الطابور].
2. الحصة الأولى: [المعلم، المادة، النقاش، المشاركة، التركيز].
3. فترة الاستراحة: [الأصدقاء، اللعب، الطعام، الحديث، الاسترخاء].
4. الأنشطة اللاصفية: [الرياضة، الموسيقى، الفن، النوادي، الإبداع].
5. نهاية اليوم المدرسي: [العودة، الواجبات، المراجعة، الاسترخاء، التخطيط]."
6,تحدث عن نشاط تحبه في عطلة نهاية الأسبوع.,"1. مقدمة عن أهمية عطلة نهاية الأسبوع: [استرخاء، ترفيه، تجديد، راحة، توازن].
2. وصف النشاط المفضل: [رياضة، قراءة، تسوق، طبخ، سينما].
3. فوائد النشاط على الصحة النفسية: [راحة، سعادة، تقليل التوتر، تحفيز، استرخاء].
4. تأثير النشاط على العلاقات الاجتماعية: [تواصل، مشاركة، أصدقاء، عائلة، تفاعل].
5. اختتام عن تأثير الأنشطة على جودة الحياة: [إيجابية، رضا، فعالية، إنتاجية، رفاهية].","تحدث عن نشاط تحبه في عطلة نهاية الأسبوع. 1. مقدمة عن أهمية عطلة نهاية الأسبوع: [استرخاء، ترفيه، تجديد، راحة، توازن].
2. وصف النشاط المفضل: [رياضة، قراءة، تسوق، طبخ، سينما].
3. فوائد النشاط على الصحة النفسية: [راحة، سعادة، تقليل التوتر، تحفيز، استرخاء].
4. تأثير النشاط على العلاقات الاجتماعية: [تواصل، مشاركة، أصدقاء، عائلة، تفاعل].
5. اختتام عن تأثير الأنشطة على جودة الحياة: [إيجابية، رضا، فعالية، إنتاجية، رفاهية]."
7,ما هو حدث تاريخي مهم في بلدك؟ لماذا هو مهم؟,"1. خلفية تاريخية للحدث: [تاريخ، مكان، شخصيات، ظروف، بداية].
2. تفاصيل الحدث: [وقائع، تطورات، نتائج، تأثيرات، أحداث متزامنة].
3. الشخصيات الرئيسية: [قادة، أبطال، مساهمون، شهود، مؤرخون].
4. الأهمية الوطنية: [هوية، استقلال، اقتصاد، سياسة، ثقافة].
5. الدروس المستفادة: [عبر، تأثيرات مستقبلية، تغييرات، تطور، تقدير].","ما هو حدث تاريخي مهم في بلدك؟ لماذا هو مهم؟ 1. خلفية تاريخية للحدث: [تاريخ، مكان، شخصيات، ظروف، بداية].
2. تفاصيل الحدث: [وقائع، تطورات، نتائج، تأثيرات، أحداث متزامنة].
3. الشخصيات الرئيسية: [قادة، أبطال، مساهمون، شهود، مؤرخون].
4. الأهمية الوطنية: [هوية، استقلال، اقتصاد، سياسة، ثقافة].
5. الدروس المستفادة: [عبر، تأثيرات مستقبلية، تغييرات، تطور، تقدير]."
8,تحدث عن تقليد ثقافي في بلدك. ماذا تعرف عنه؟,"1. تاريخ التقليد: [نشأة، تطور، قديم، جذور، تاريخي].
2. الأهمية الاجتماعية: [مجتمع، تواصل، ترابط، مناسبات، احتفال].
3. العناصر المميزة: [رموز، ألوان، ملابس، أطعمة، طقوس].
4. التأثير الثقافي: [هوية، فخر، تنوع، ثقافة، إرث].
5. التغيرات الحديثة: [تحديث، تكيّف، تأثير، تحديات، استمرار].","تحدث عن تقليد ثقافي في بلدك. ماذا تعرف عنه؟ 1. تاريخ التقليد: [نشأة، تطور، قديم، جذور، تاريخي].
2. الأهمية الاجتماعية: [مجتمع، تواصل، ترابط، مناسبات، احتفال].
3. العناصر المميزة: [رموز، ألوان، ملابس، أطعمة، طقوس].
4. التأثير الثقافي: [هوية، فخر، تنوع، ثقافة، إرث].
5. التغيرات الحديثة: [تحديث، تكيّف، تأثير، تحديات، استمرار]."
9,ما هي أهمية الانتخابات في بلدك؟ هل تعرف من ينتخب؟,"1. دور الانتخابات في تعزيز الديمقراطية: [الشفافية، المشاركة، الحقوق، التعددية، الحوكمة].
2. تأثير الانتخابات على التنمية المستدامة: [الاقتصاد، التعليم، الصحة، البنية التحتية، البيئة].
3. كيفية مشاركة المواطنين في العملية الانتخابية: [التسجيل، التصويت، الحملات، التوعية، المسؤولية].
4. الفئات التي يحق لها الانتخاب: [البالغين، المواطنين، المقيمين، النساء، الشباب].
5. التحديات التي تواجه العملية الانتخابية: [التزوير، النزاهة، الأمان، التوعية، التمويل].","ما هي أهمية الانتخابات في بلدك؟ هل تعرف من ينتخب؟ 1. دور الانتخابات في تعزيز الديمقراطية: [الشفافية، المشاركة، الحقوق، التعددية، الحوكمة].
2. تأثير الانتخابات على التنمية المستدامة: [الاقتصاد، التعليم، الصحة، البنية التحتية، البيئة].
3. كيفية مشاركة المواطنين في العملية الانتخابية: [التسجيل، التصويت، الحملات، التوعية، المسؤولية].
4. الفئات التي يحق لها الانتخاب: [البالغين، المواطنين، المقيمين، النساء، الشباب].
5. التحديات التي تواجه العملية الانتخابية: [التزوير، النزاهة، الأمان، التوعية، التمويل]."
10,كيف يؤثر الحكومة على حياتك اليومية؟ هل لديك مثال؟,"1. تأثير القرارات الحكومية على الاقتصاد المحلي: [الضرائب، الوظائف، الأسعار، الدعم، الاستثمارات].
2. دور الحكومة في تحسين الخدمات العامة: [التعليم، الصحة، النقل، البنية التحتية، التكنولوجيا].
3. التشريعات الحكومية وتأثيرها على الحياة اليومية: [القوانين، اللوائح، الحقوق، الحريات، الأمن].
4. الحكومة والسياسات الاجتماعية: [الضمان الاجتماعي، الإسكان، الفقر، المساواة، التنمية].
5. تأثير السياسة الخارجية على المواطنين: [التجارة، الدبلوماسية، التأشيرات، التعاون، السلام].","كيف يؤثر الحكومة على حياتك اليومية؟ هل لديك مثال؟ 1. تأثير القرارات الحكومية على الاقتصاد المحلي: [الضرائب، الوظائف، الأسعار، الدعم، الاستثمارات].
2. دور الحكومة في تحسين الخدمات العامة: [التعليم، الصحة، النقل، البنية التحتية، التكنولوجيا].
3. التشريعات الحكومية وتأثيرها على الحياة اليومية: [القوانين، اللوائح، الحقوق، الحريات، الأمن].
4. الحكومة والسياسات الاجتماعية: [الضمان الاجتماعي، الإسكان، الفقر، المساواة، التنمية].
5. تأثير السياسة الخارجية على المواطنين: [التجارة، الدبلوماسية، التأشيرات، التعاون، السلام]."
